trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
43,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5476398468017578,0,"(1, 2)",43,0,False,True,False,True,False,False
44,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,1.0475029945373535,0,"(1, 3)",44,0,False,False,True,False,True,True
45,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.47110795974731445,0,"(0, 3)",45,0,False,False,True,False,False,True
46,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.7822380065917969,0,"(1, 3)",46,0,False,False,True,False,False,True
47,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.7286479473114014,1,"(0, 3)",47,1,False,True,True,False,False,False
48,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,1.0310211181640625,1,"(1, 2)",48,1,False,False,False,True,True,True
49,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,0.42139387130737305,1,"(1, 2)",49,1,True,False,False,True,False,True
50,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.9180409908294678,1,"(1, 3)",50,1,False,False,False,True,False,True
51,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,1.2041969299316406,1,"(1, 3)",51,1,True,False,False,True,False,True
52,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.7805421352386475,1,"(0, 3)",52,1,True,False,False,True,False,True
53,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5298478603363037,1,"(1, 3)",53,1,True,False,False,True,False,True
54,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.4961848258972168,1,"(0, 3)",54,1,True,False,False,True,False,True
55,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5702948570251465,1,"(0, 2)",55,1,False,False,False,True,False,True
56,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5408320426940918,1,"(1, 2)",56,1,True,False,False,True,False,True
57,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.44901204109191895,1,"(1, 2)",57,1,True,False,False,True,False,True
58,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.40921902656555176,1,"(1, 2)",58,1,True,False,False,True,False,True
59,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.38970088958740234,1,"(1, 2)",59,1,True,False,False,True,False,True
60,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.9184081554412842,1,"(0, 3)",60,1,False,False,True,False,True,False
61,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,1.2650468349456787,1,"(0, 3)",61,1,True,False,True,False,False,False
62,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8940179347991943,1,"(1, 2)",62,1,False,False,False,True,True,True
63,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5288479328155518,1,"(1, 2)",63,1,True,False,False,True,False,True
64,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.7210979461669922,1,"(0, 2)",64,1,True,False,False,True,False,True
65,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.6337580680847168,1,"(0, 3)",65,1,False,False,False,True,False,True
66,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.42053699493408203,1,"(1, 3)",66,1,True,False,False,True,False,True
67,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.6330430507659912,1,"(1, 3)",67,1,True,False,False,True,False,True
68,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.42126893997192383,1,"(1, 3)",68,1,True,False,False,True,False,True
69,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5808000564575195,1,"(1, 2)",69,1,False,False,False,True,False,True
71,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,1,0.7090311050415039,1,"(1, 2)",71,1,False,False,True,False,True,False
72,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.6092162132263184,0,"(1, 3)",72,0,True,True,True,False,False,True
73,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.52152419090271,0,"(0, 3)",73,0,False,False,True,False,False,True
74,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.6023881435394287,0,"(1, 3)",74,0,False,False,True,False,False,True
75,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.460582971572876,0,"(1, 3)",75,0,True,False,True,False,False,True
76,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5589301586151123,0,"(0, 2)",76,0,False,False,False,True,True,False
77,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.8068490028381348,0,"(0, 2)",77,0,False,False,True,False,True,True
78,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.77907395362854,0,"(0, 2)",78,0,True,False,True,False,False,True
79,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.500891923904419,0,"(0, 3)",79,0,True,False,True,False,False,True
80,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5574619770050049,0,"(1, 3)",80,0,False,False,True,False,False,True
81,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.4925680160522461,0,"(0, 2)",81,0,False,False,True,False,False,True
82,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5335400104522705,0,"(1, 2)",82,0,False,False,True,False,False,True
83,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.6373789310455322,0,"(1, 2)",83,0,True,False,True,False,False,True
84,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5354630947113037,0,"(1, 3)",84,0,True,False,True,False,False,True
85,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.4318208694458008,0,"(1, 3)",85,0,True,False,True,False,False,True
86,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.4012720584869385,0,"(1, 2)",86,0,True,False,True,False,False,True
87,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.8199501037597656,0,"(0, 3)",87,0,False,False,True,False,False,True
88,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.4228248596191406,0,"(0, 3)",88,0,True,False,True,False,False,True
89,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.921746015548706,0,"(1, 2)",89,0,False,False,True,False,False,True
90,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.7290248870849609,0,"(1, 3)",90,0,False,False,False,True,True,False
91,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.7946169376373291,1,"(0, 3)",91,1,True,True,False,True,False,True
92,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.7254040241241455,1,"(1, 3)",92,1,True,False,False,True,False,True
93,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5736150741577148,1,"(0, 2)",93,1,False,False,False,True,False,True
94,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,3,0.5662519931793213,1,"(1, 3)",94,1,False,False,False,True,False,True
95,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.7820658683776855,1,"(0, 3)",95,1,True,False,False,True,False,True
96,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.6377599239349365,1,"(0, 2)",96,1,False,False,False,True,False,True
97,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.6367580890655518,1,"(1, 3)",97,1,False,False,False,True,False,True
98,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,1,1.0237700939178467,1,"(1, 2)",98,1,False,False,True,False,True,False
99,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.8036799430847168,1,"(1, 3)",99,1,False,False,False,True,True,True
100,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,1.0223109722137451,1,"(1, 2)",100,1,False,False,False,True,False,True
102,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.7402729988098145,1,"(0, 3)",102,1,False,False,False,True,False,True
103,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.067559003829956,1,"(1, 3)",103,1,False,False,True,False,True,False
104,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.7454521656036377,1,"(1, 3)",104,1,False,False,False,True,True,True
105,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.6847519874572754,1,"(1, 2)",105,1,False,False,False,True,False,True
106,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,1.0984292030334473,1,"(0, 3)",106,1,False,False,False,True,False,True
107,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.6157770156860352,1,"(1, 2)",107,1,False,False,False,True,False,True
108,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5284550189971924,1,"(0, 3)",108,1,False,False,False,True,False,True
