trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient
48,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 1)",48,1,False,False,True,True
49,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 1)",49,0,False,True,True,False
50,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,0,"(0, 1)",50,0,True,False,True,False
51,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 1)",51,0,True,False,True,False
52,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 1)",52,0,True,False,True,False
53,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 1)",53,0,False,False,True,True
54,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 0)",54,0,True,False,True,False
55,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 0)",55,0,True,False,True,False
56,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 1)",56,0,False,False,True,False
57,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 1)",57,0,True,False,True,False
58,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",58,0,True,False,True,False
59,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,0,"(0, 1)",59,0,True,False,True,False
60,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,1,0.5,0,"(1, 0)",60,0,False,False,True,False
61,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,0,"(0, 0)",61,0,False,False,True,True
62,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.5,1,"(1, 0)",62,1,False,True,True,False
63,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 1)",63,1,True,False,True,True
64,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",64,1,False,False,True,False
65,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.5,1,"(1, 0)",65,1,False,False,True,False
66,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 0)",66,1,True,False,True,False
67,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 1)",67,1,True,False,True,True
68,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.5,1,"(1, 0)",68,1,True,False,True,False
69,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 1)",69,1,True,False,True,True
70,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,0,"(0, 0)",70,0,False,True,True,True
71,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",71,0,True,False,True,False
72,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 0)",72,0,False,False,True,False
73,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 1)",73,1,True,True,True,True
74,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 0)",74,1,True,False,True,False
75,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 0)",75,1,False,False,True,True
76,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",76,1,True,False,True,False
