trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient
48,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 1)",48,0,True,False,True,False
49,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 1)",49,0,False,False,True,True
50,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 0)",50,0,False,False,True,True
51,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 1)",51,0,True,False,True,False
52,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 0)",52,0,True,False,True,True
53,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 0)",53,0,True,False,True,True
54,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 1)",54,1,False,True,True,True
55,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 1)",55,1,False,False,True,False
56,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 1)",56,1,False,False,True,True
57,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 1)",57,0,False,True,True,False
58,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",58,0,True,False,True,False
59,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 1)",59,0,False,False,True,True
60,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,0,"(1, 1)",60,0,True,False,True,True
61,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,0,"(1, 1)",61,0,True,False,True,True
62,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,0,"(1, 0)",62,0,True,False,True,False
63,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 0)",63,0,True,False,True,False
64,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",64,0,False,False,True,False
65,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,0,"(1, 1)",65,0,False,False,True,True
66,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.5,1,"(1, 1)",66,1,True,True,True,True
67,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,0,"(1, 0)",67,0,True,True,True,False
68,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 0)",68,0,True,False,True,False
69,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 0)",69,0,False,False,True,True
70,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 1)",70,1,False,True,True,True
71,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 0)",71,1,True,False,True,False
72,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,1,"(0, 1)",72,1,False,False,True,False
73,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 1)",73,1,True,False,True,False
74,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 1)",74,1,False,False,True,True
75,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 1)",75,0,False,True,True,False
76,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",76,0,True,False,True,False
77,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 0)",77,0,True,False,True,True
78,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 1)",78,0,False,False,True,True
79,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 0)",79,1,False,True,True,True
80,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.5,1,"(1, 1)",80,1,False,False,True,True
81,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 0)",81,1,True,False,True,False
82,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 0)",82,1,False,False,True,True
83,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",83,1,True,False,True,False
84,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.5,1,"(0, 0)",84,1,True,False,True,True
85,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 1)",85,1,True,False,True,False
86,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 0)",86,1,True,False,True,True
87,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 1)",87,1,True,False,True,False
88,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 1)",88,1,True,False,True,False
89,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 0)",89,1,False,False,True,False
90,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 0)",90,1,True,False,True,False
91,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 0)",91,1,False,False,True,True
92,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,1,"(0, 1)",92,1,True,False,True,False
