trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,con_ts,con_stim,curr_ts,switch
28,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.0726131281905133, -0.0726131281905133, -0.0726131281905133]",0,0.5024475200334564,0,0,28,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
29,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7134708965895474, -0.7134708965895474, -0.7134708965895474]",0,0.5027460415149108,0,0,29,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
30,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.08618360564330532, -0.08618360564330532, -0.08618360564330532]",1,0.5018491381779313,0,1,30,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
31,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.3354394601531787, -0.3354394601531787, -0.3354394601531787]",0,0.5017880059313029,0,0,31,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
32,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.6030453409922483, -0.6030453409922483, -0.6030453409922483]",1,0.5022208399605006,0,1,32,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
33,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.6808414057317325, -0.6808414057317325, -0.6808414057317325]",0,0.5019954985473305,0,0,33,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
34,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.20169044397065175, -0.20169044397065175, -0.20169044397065175]",1,0.5021191015839577,0,1,34,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
35,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.08027157207856883, 0.08027157207856883, 0.08027157207856883]",1,0.5025108832633123,1,1,35,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
36,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.19944050680801173, -0.19944050680801173, -0.19944050680801173]",1,0.5020610928768292,1,1,36,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
37,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.28540479694875426, 0.28540479694875426, 0.28540479694875426]",1,0.5022721553687006,1,1,37,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
38,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.33690017949552326, -0.33690017949552326, -0.33690017949552326]",0,0.5025970038259402,1,0,38,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
39,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.3219258995402559, 0.3219258995402559, 0.3219258995402559]",3,0.5022507366957143,1,1,39,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,True
40,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.2879614830706144, 0.2879614830706144, 0.2879614830706144]",3,0.5023065143032,1,1,40,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
41,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.018893675747358563, 0.018893675747358563, 0.018893675747358563]",3,0.5023484590929002,1,1,41,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
42,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.20499891893406716, 0.20499891893406716, 0.20499891893406716]",3,0.5014711893163621,1,1,42,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
43,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.22346242077428963, 0.22346242077428963, 0.22346242077428963]",3,0.5021302571985871,1,1,43,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
44,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.8858328419786419, 0.8858328419786419, 0.8858328419786419]",3,0.5023578297114,1,1,44,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
