trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
1,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.8671178817749023,0,"(0, 2)",1,0,False,False,True,False,True,True
2,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.48438501358032227,0,"(1, 3)",2,0,False,False,False,False,True,False
3,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.49134397506713867,0,"(0, 3)",3,0,False,False,False,True,False,False
4,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.6940610408782959,0,"(0, 2)",4,0,True,False,False,False,False,False
5,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,3,0.3232131004333496,0,"(0, 2)",5,0,True,False,False,False,False,False
6,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.3876512050628662,0,"(0, 3)",6,0,True,False,False,True,False,False
7,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.33208799362182617,0,"(1, 2)",7,0,True,False,False,False,False,False
8,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.399432897567749,1,"(0, 3)",8,1,False,True,False,False,False,False
9,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.3450958728790283,1,"(1, 3)",9,1,True,False,False,False,False,False
10,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,3,0.45099401473999023,1,"(1, 3)",10,1,False,False,False,True,False,True
11,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.2924001216888428,1,"(1, 3)",11,1,False,False,False,False,False,False
12,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5235409736633301,1,"(1, 2)",12,1,False,False,False,False,False,False
13,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.3672220706939697,1,"(1, 3)",13,1,True,False,False,True,False,True
14,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.313737154006958,1,"(1, 3)",14,1,False,False,False,False,False,False
15,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5569179058074951,1,"(1, 2)",15,1,True,False,False,True,False,True
16,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.4997680187225342,1,"(1, 3)",16,1,False,False,False,True,False,True
17,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.44616198539733887,1,"(1, 3)",17,1,True,False,False,True,False,True
18,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.44597387313842773,1,"(0, 3)",18,1,True,False,False,True,False,True
19,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5036239624023438,1,"(0, 2)",19,1,False,False,False,True,False,True
20,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.32854604721069336,1,"(0, 2)",20,1,True,False,False,True,False,True
21,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,1.1691029071807861,1,"(1, 3)",21,1,False,False,False,True,False,True
22,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,1.2036378383636475,1,"(0, 2)",22,1,False,False,False,True,False,True
23,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.602773904800415,1,"(1, 2)",23,1,True,False,False,True,False,True
24,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,2,0.36966896057128906,1,"(1, 2)",24,1,True,False,False,True,False,True
25,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.32944297790527344,1,"(1, 3)",25,1,False,False,False,True,False,True
26,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,2,0.41077113151550293,1,"(0, 2)",26,1,False,False,False,True,False,True
27,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.6010329723358154,1,"(0, 3)",27,1,False,False,False,True,False,True
28,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.5519211292266846,1,"(0, 2)",28,1,False,False,False,True,False,True
29,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,1,0.4567680358886719,1,"(1, 3)",29,1,False,False,True,False,True,False
30,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.29746198654174805,1,"(0, 3)",30,1,False,False,True,False,False,False
31,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.32152700424194336,1,"(1, 3)",31,1,False,False,False,False,True,False
32,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.548058032989502,1,"(0, 2)",32,1,False,False,False,False,False,False
33,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.5974640846252441,1,"(0, 3)",33,1,True,False,False,True,False,True
34,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5336380004882812,0,"(1, 3)",34,0,False,True,False,False,False,False
35,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.29462599754333496,0,"(0, 2)",35,0,True,False,False,True,False,False
36,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.571768045425415,0,"(0, 3)",36,0,False,False,False,True,False,False
