trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
43,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5907998085021973,1,"(0, 2)",43,0,True,False,True,False,False,True
44,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.6512389183044434,1,"(0, 2)",44,0,True,False,True,False,False,True
45,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.4775810241699219,1,"(0, 2)",45,0,True,False,True,False,False,True
46,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.7634718418121338,1,"(1, 3)",46,0,False,False,True,False,False,True
47,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.5260319709777832,1,"(1, 3)",47,0,True,False,True,False,False,True
48,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5716371536254883,1,"(0, 3)",48,0,False,False,True,False,False,True
49,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5418169498443604,1,"(0, 3)",49,0,True,False,True,False,False,True
50,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5804641246795654,1,"(0, 3)",50,0,True,False,True,False,False,True
51,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,2,0.9213800430297852,1,"(1, 2)",51,0,False,False,False,True,True,False
52,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.9592909812927246,1,"(0, 2)",52,0,True,False,False,True,False,False
53,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.9507009983062744,1,"(0, 3)",53,0,True,False,False,False,False,False
54,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5862109661102295,1,"(0, 3)",54,0,True,False,False,False,False,False
55,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.42326903343200684,1,"(0, 2)",55,0,True,False,False,True,False,False
56,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8337390422821045,0,"(0, 3)",56,1,True,True,False,False,False,False
57,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,2,0.6043398380279541,0,"(0, 2)",57,1,True,False,False,True,False,True
58,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8858299255371094,0,"(1, 2)",58,1,True,False,False,True,False,True
59,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,2,0.5888838768005371,0,"(0, 2)",59,1,True,False,False,True,False,True
60,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,3,0.5988459587097168,0,"(0, 3)",60,1,False,False,False,True,False,True
61,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.4580519199371338,0,"(0, 3)",61,1,True,False,False,True,False,True
62,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.522068977355957,0,"(1, 3)",62,1,True,False,False,True,False,True
63,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,1.119927167892456,1,"(0, 2)",63,0,False,True,False,True,False,False
64,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.6003601551055908,1,"(1, 3)",64,0,False,False,False,True,False,False
65,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.9432480335235596,1,"(0, 3)",65,0,False,False,True,False,True,True
66,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.7208430767059326,1,"(1, 2)",66,0,False,False,True,False,False,True
67,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.9600019454956055,0,"(0, 3)",67,1,False,True,True,False,False,False
68,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.9196939468383789,0,"(0, 3)",68,1,False,False,False,True,True,True
69,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,2,0.4669010639190674,0,"(1, 2)",69,1,False,False,False,True,False,True
70,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.6138091087341309,0,"(1, 3)",70,1,False,False,False,True,False,True
71,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.6069471836090088,1,"(1, 2)",71,0,False,True,False,True,False,False
72,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.6164989471435547,1,"(1, 2)",72,0,True,False,False,True,False,False
73,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5872910022735596,1,"(0, 2)",73,0,True,False,False,True,False,False
74,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.8919949531555176,1,"(1, 2)",74,0,False,False,True,False,True,True
75,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.7297542095184326,1,"(1, 3)",75,0,True,False,True,False,False,True
76,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.99204421043396,1,"(1, 3)",76,0,True,False,True,False,False,True
77,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.643625020980835,1,"(0, 3)",77,0,False,False,True,False,False,True
78,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.7575170993804932,1,"(1, 2)",78,0,False,False,True,False,False,True
79,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.6345729827880859,1,"(0, 3)",79,0,False,False,True,False,False,True
80,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.7088229656219482,1,"(1, 3)",80,0,False,False,True,False,False,True
81,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.6246418952941895,1,"(1, 2)",81,0,True,False,True,False,False,True
82,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.4462878704071045,1,"(0, 2)",82,0,False,False,True,False,False,True
83,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.6241550445556641,1,"(1, 2)",83,0,False,False,True,False,False,True
84,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,2,0.890023946762085,1,"(0, 2)",84,0,False,False,False,True,True,False
85,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,1.193777084350586,1,"(0, 3)",85,0,False,False,True,False,True,True
86,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.6535098552703857,1,"(1, 3)",86,0,False,False,True,False,False,True
87,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.6760179996490479,1,"(0, 2)",87,0,False,False,True,False,False,True
88,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.6694118976593018,1,"(1, 2)",88,0,False,False,True,False,False,True
89,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5636608600616455,1,"(0, 3)",89,0,False,False,True,False,False,True
