trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
46,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,1,"(1, 3)",46,0,False,False,False,True,False
47,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.5,1,"(1, 3)",47,0,True,False,False,True,False
48,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 3)",48,0,False,False,True,False,True
49,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 2)",49,0,False,False,True,False,True
50,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 2)",50,0,True,False,True,False,True
51,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 3)",51,0,True,False,True,False,True
52,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 3)",52,0,True,False,True,False,True
53,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,1,"(0, 2)",53,0,True,False,True,False,True
54,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 2)",54,0,True,False,True,False,True
55,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 3)",55,0,False,False,True,False,True
56,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 3)",56,0,False,False,True,False,True
57,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 2)",57,0,True,False,True,False,True
58,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 3)",58,0,False,False,True,False,True
59,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 2)",59,0,True,False,True,False,True
60,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 2)",60,0,False,False,True,False,True
61,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 2)",61,0,False,False,True,False,True
62,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 2)",62,1,False,True,True,False,False
63,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(0, 2)",63,1,False,False,False,True,True
64,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(1, 3)",64,1,False,False,False,True,True
