trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
2,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,1.1181609630584717,0,"(0, 2)",2,1,False,True,False,False,True,False
3,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.5660858154296875,0,"(0, 3)",3,1,True,False,False,True,False,True
4,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.5906198024749756,0,"(0, 2)",4,1,True,False,False,False,False,False
5,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.4582650661468506,0,"(0, 3)",5,1,True,False,False,True,False,True
6,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.9150490760803223,0,"(0, 2)",6,1,True,False,False,False,False,False
7,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.7365829944610596,0,"(1, 3)",7,1,False,False,False,False,False,False
8,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.40499281883239746,0,"(1, 3)",8,1,True,False,False,False,False,False
9,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.555596113204956,0,"(0, 2)",9,1,False,False,False,False,False,False
10,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.6434841156005859,0,"(1, 2)",10,1,False,False,False,True,False,True
11,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.49753308296203613,1,"(1, 3)",11,0,False,True,True,False,True,True
12,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.6389729976654053,1,"(0, 3)",12,0,False,False,True,False,False,True
13,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5026578903198242,1,"(1, 3)",13,0,False,False,True,False,False,True
14,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.4898250102996826,1,"(1, 3)",14,0,True,False,True,False,False,True
15,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,1.1668791770935059,1,"(1, 2)",15,0,False,False,False,True,True,False
16,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.6771218776702881,1,"(0, 2)",16,0,False,False,True,False,True,True
17,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.7885160446166992,1,"(0, 2)",17,0,True,False,True,False,False,True
18,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.5830259323120117,1,"(0, 3)",18,0,False,False,False,True,True,False
19,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.9768788814544678,1,"(0, 3)",19,0,False,False,True,False,True,True
20,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.530764102935791,1,"(1, 3)",20,0,False,False,True,False,False,True
